p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
0	1.30660595899269	0.963	0.47	0	cluster_10	PCNA	1.88503393743472
0	1.22401509292081	0.872	0.162	0	cluster_10	FAM111B	1.76588050453009
0	1.22301791762695	0.961	0.415	0	cluster_10	MCM3	1.76444188467875
0	1.14510280956005	0.926	0.265	0	cluster_10	MCM4	1.65203414466031
0	1.11270574165537	0.861	0.13	0	cluster_10	E2F1	1.60529505545488
0	1.09086931309993	0.856	0.17	0	cluster_10	MCM6	1.57379174826723
0	1.08659325925038	0.894	0.202	0	cluster_10	GINS2	1.5676227065839
0	1.08494109185576	0.939	0.302	0	cluster_10	HELLS	1.56523913287696
0	1.02893050940874	0.914	0.395	0	cluster_10	ATAD2	1.48443294334335
0	1.01390484484997	0.974	0.572	0	cluster_10	MCM7	1.46275549159835
0	1.00873668811082	0.829	0.18	0	cluster_10	CDC6	1.45529941750024
0	1.00679233867853	0.928	0.308	0	cluster_10	FEN1	1.45249431421651
0	0.939833557524944	0.845	0.228	0	cluster_10	MSH6	1.35589321270227
0	0.915062338166957	0.793	0.166	0	cluster_10	MCM5	1.32015589737773
0	0.861054295647015	0.842	0.298	0	cluster_10	BRCA1	1.24223876226609
0	0.855907055841427	0.98	0.747	0	cluster_10	NASP	1.2348128649243
0	0.849077178697705	0.916	0.324	0	cluster_10	TYMS	1.22495943503917
0	0.848217991465864	0.868	0.273	0	cluster_10	UNG	1.2237198898806
2.35921646603931e-266	0.827053801576605	0.959	0.549	4.58891194809307e-262	cluster_10	PCLAF	1.19318641808293
8.77404733525e-304	0.818871005068679	0.978	0.719	1.70663994717948e-299	cluster_10	DUT	1.18138113814034
0	0.782222174844473	0.974	0.634	0	cluster_10	SLBP	1.1285080525215
0	0.777247293933238	0.845	0.315	0	cluster_10	RFC4	1.12133081650185
0	0.776439552081821	0.743	0.154	0	cluster_10	CLSPN	1.12016549133849
0	0.769291767920485	0.83	0.278	0	cluster_10	ORC6	1.10985341857559
2.20833631645582e-234	0.767793461530583	0.893	0.493	4.29543496913821e-230	cluster_10	DHFR	1.10769181937714
