p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
3.11632166975381e-198	1.2030968288441	0.34	0.136	6.06155727983813e-194	cluster_3	KRT17	1.73570182868262
0	1.06641767631579	0.922	0.752	0	cluster_3	GDF15	1.53851549313712
1.84868631233559e-167	0.875758489814766	0.312	0.13	3.59587974612396e-163	cluster_3	AKR1C1	1.26345243027217
1.9997330658007e-287	0.866487300998466	0.793	0.571	3.88968078628894e-283	cluster_3	DDIT3	1.25007693214375
0	0.862737178613251	0.85	0.588	0	cluster_3	CD55	1.24466664917587
0	0.806570333074113	0.887	0.665	0	cluster_3	TRIB3	1.16363501965418
7.12623188164904e-204	0.796309212085499	0.904	0.827	1.38612336329956e-199	cluster_3	HMGCS1	1.14883135128995
7.00472102555707e-137	0.775480193388376	0.806	0.692	1.36248828668111e-132	cluster_3	LCN2	1.11878142930902
1.6547262753914e-221	0.71464567323568	0.928	0.854	3.21860807826381e-217	cluster_3	TXNRD1	1.03101576876987
5.75170865153627e-253	0.688755505258648	0.834	0.623	1.11876484981032e-248	cluster_3	DDIT4	0.993664151821623
2.88066005142591e-285	0.659217191304061	0.96	0.905	5.60317186602854e-281	cluster_3	SLC3A2	0.95104937276312
0	0.657244838746265	0.993	0.98	0	cluster_3	SQSTM1	0.948203869509103
0	0.65660895068502	0.987	0.969	0	cluster_3	RBCK1	0.947286476956584
0	0.634716837046782	1	1	0	cluster_3	FTH1	0.915702833176121
4.29038834314301e-240	0.621608391593638	0.885	0.767	8.34523436624746e-236	cluster_3	MSMO1	0.896791343927106
1.44288697924061e-184	0.610352399234419	0.89	0.791	2.80655946332091e-180	cluster_3	INSIG1	0.880552379570177
0	0.600140631243402	0.971	0.937	0	cluster_3	S100P	0.865819912530828
0	0.555901287142262	0.973	0.912	0	cluster_3	KRT20	0.801996030183934
1.32490976882009e-305	0.549386694521267	0.938	0.828	2.57708199133196e-301	cluster_3	ANXA3	0.792597459716211
3.12010121423769e-296	0.548740964580779	0.764	0.459	6.06890887181374e-292	cluster_3	SDCBP2	0.791665868333316
3.38967265697446e-142	0.548681821282845	0.959	0.903	6.59325228508102e-138	cluster_3	SQLE	0.791580542590685
3.71155379567003e-128	0.54047610627458	0.684	0.535	7.21934328795777e-124	cluster_3	DCBLD2	0.779742198241313
1.79790028042854e-177	0.524336073143082	0.832	0.721	3.49709583546155e-173	cluster_3	ANXA1	0.756457052482718
2.02747195307441e-146	0.515767277292342	0.678	0.49	3.94363569592504e-142	cluster_3	GCLC	0.744094893202465
0	0.513764378108176	0.427	0.142	0	cluster_3	DUSP5	0.741205320482068
1.11668852807624e-154	0.50729213541936	0.7	0.521	2.17207085596109e-150	cluster_3	ARHGAP29	0.731867848051483
7.68309042218186e-136	0.504676166276524	0.58	0.387	1.49443791801859e-131	cluster_3	CDA	0.728093802341995
2.18179789863759e-232	0.500144983206362	0.82	0.608	4.24381509263998e-228	cluster_3	VEGFA	0.721556686997313
1.72985419193345e-237	0.499730325829163	0.871	0.705	3.36473938872976e-233	cluster_3	PPP1R15A	0.72095846285556
5.55649374763841e-116	0.495707225608576	0.297	0.135	1.08079359885315e-111	cluster_3	IGFL2-AS1	0.71515435611832
4.50383812240383e-252	0.493061088763814	0.963	0.911	8.76041553188768e-248	cluster_3	CEBPB	0.711336787614867
7.66542105852847e-257	0.48570384456591	0.952	0.861	1.49100105009437e-252	cluster_3	MAP1LC3B	0.700722527895943
1.53465336418067e-113	0.472753862535018	0.942	0.883	2.98505425866782e-109	cluster_3	AREG	0.682039653040373
1.16530543397789e-136	0.464716438817254	0.94	0.892	2.26663559963039e-132	cluster_3	IDI1	0.670444101701232
1.38807599812217e-236	0.463468228887566	0.908	0.803	2.69994662394744e-232	cluster_3	TNFRSF12A	0.668643315425683
9.9793379731106e-157	0.462584124832591	0.668	0.467	1.94108102914974e-152	cluster_3	ERRFI1	0.667367822889941
7.84397409681422e-98	0.462377080795135	0.909	0.844	1.52573140157133e-93	cluster_3	TM4SF1	0.667069121483857
9.34462310142585e-172	0.454724145386724	0.925	0.83	1.81762263945834e-167	cluster_3	HERPUD1	0.656028269521899
1.34809872381975e-233	0.454279554267629	1	0.997	2.6221868277018e-229	cluster_3	NEAT1	0.655386860119157
